Aliment,Calories,Fibres,Glucides,Gras,IG,CG,Proteines,Famille_regroupee
"Boisson gazeuse aux fruits (é moins de 10% de jus), sucrée",0.0,0.005,9.97,0.051,45.0,4.5,0.0,Boissons
"Boisson gazeuse aux fruits (de 10 é 50% de jus), non sucrée, avec édulcorants",0.0,0.0,1.39,0.014,45.0,0.6,0.0,Boissons
"Boisson préparée é partir de boisson concentrée é diluer, non sucrée, avec édulcorants, type ""sirop 0%"", diluée dans l'eau",0.0,0.0,2.42,0.0,50.0,1.2,0.0,Boissons
"Boisson préparée é partir de sirop é diluer type menthe, fraise, etc, sucré, dilué dans l'eau",0.0,0.0,7.7,0.0,45.0,3.5,0.0,Boissons
"Boisson concentrée é diluer, sans sucres ajoutés, avec édulcorants, type ""sirop 0%""",21.7,0.7,2.76,0.5,50.0,1.4,0.0,Boissons
"Cola, non sucré, avec édulcorants",1.3,0.003,0.11,0.053,50.0,0.1,0.0,Boissons
"Boisson au thé, aromatisée, teneur en sucre et édulcorant inconnue (aliment moyen)",27.3,0.0,6.11,0.0092,50.0,3.1,0.0,Boissons
"Cola, teneur en sucre et édulcorant inconnue (aliment moyen)",30.7,0.00084,7.45,0.059,50.0,3.7,0.0,Boissons
"Boisson au thé, aromatisée, é teneur réduite en sucres",0.0,0.0,0.0,0.0,50.0,0.0,0.0,Boissons
"Boisson au thé, aromatisée, non sucrée, avec édulcorants",0.0,0.0,0.34,0.0,50.0,0.2,0.0,Boissons
Eau du robinet,0.0,0.0,0.0,0.0,50.0,0.0,0.0,Boissons
"Cola, sucré, sans caféine",43.8,0.0,11.0,0.0,50.0,5.5,0.0,Boissons
"Cola, non sucré, avec édulcorants, sans caféine",0.87,0.0,0.2,0.0,50.0,0.1,0.0,Boissons
"Café, décaféiné, poudre soluble",357.0,0.0,76.0,0.2,50.0,38.0,0.0,Boissons
"Café décaféiné, non instantané, non sucré, prét é boire",4.42,0.0,0.6,0.18,50.0,0.3,0.0,Boissons
"Café expresso, non instantané, non sucré, prét é boire",7.64,0.5,1.16,0.2,50.0,0.6,0.0,Boissons
"Café décaféiné, instantané, non sucré, prét é boire",2.1,0.0,0.4,0.002,50.0,0.2,0.0,Boissons
"Café, instantané, non sucré, prét é boire",1.64,0.0,0.3,0.004,50.0,0.2,0.0,Boissons
"Boisson au thé, aromatisée, sucrée",27.3,0.0,6.76,0.022,50.0,3.4,0.0,Boissons
"Thé, feuille",232.0,55.8,6.3,2.0,50.0,3.2,0.0,Boissons
"Boisson gazeuse, sans jus de fruit, sucrée, avec édulcorants",0.0,0.0,6.8,0.0,45.0,3.1,0.0,Boissons
"Cacao, non sucré, poudre soluble",387.0,29.5,11.6,20.6,50.0,5.8,0.0,Boissons
"Poudre cacaotée ou au chocolat pour boisson, sucrée",379.0,10.5,75.6,3.29,50.0,37.8,0.0,Boissons
"Poudre maltée, cacaotée ou au chocolat pour boisson, sucrée, enrichie en vitamines et minéraux",0.0,0.0,79.4,5.03,50.0,39.7,0.0,Boissons
"Boisson cacaotée ou au chocolat, instantanée, sucrée, préte é boire (reconstituée avec du lait demi-écrémé standard)",69.3,1.7,9.5,1.42,30.0,2.8,0.0,Boissons
"Boisson cacaotée ou au chocolat, instantanée, sucrée, enrichie en vitamines, préte é boire (reconstituée avec du lait demi-écrémé standard)",71.9,0.5,9.91,1.71,30.0,3.0,0.0,Boissons
"Boisson é l'amande, nature, non sucrée, non enrichie, préemballée",36.3,0.5,0.68,3.2,50.0,0.3,0.0,Boissons
"Boisson é l'amande, sucrée, enrichie en calcium, préemballée",44.4,0.5,3.96,2.8,50.0,2.0,0.0,Boissons
"Chicorée et café, poudre soluble",332.0,12.0,66.9,0.35,50.0,33.4,0.0,Boissons
"Café au lait, café créme ou cappuccino, instantané ou non, non sucré, prét é boire",21.6,0.0,2.31,0.76,30.0,0.7,0.0,Boissons
"Chicorée, poudre soluble",323.0,29.2,57.2,2.5,50.0,28.6,0.0,Boissons
"Chicorée et café, instantané, non sucré, préte é boire (reconstituée avec du lait demi-écrémé standard)",54.1,0.46,5.9,1.62,30.0,1.8,0.0,Boissons
"Thé noir, infusé, non sucré",1.26,0.0,0.3,0.007,50.0,0.2,0.0,Boissons
"Thé vert, infusé, non sucré",5.1,0.0,1.09,0.0,50.0,0.5,0.0,Boissons
"Thé oolong, infusé, non sucré",0.0,0.0,0.0,0.0,50.0,0.0,0.0,Boissons
"Café au lait ou cappuccino, poudre soluble",417.0,3.3,70.1,8.8,30.0,21.0,0.0,Boissons
"Chicorée, instantanée, non sucrée, préte é boire (reconstituée avec du lait demi-écrémé standard)",93.5,0.59,7.1,7.1,30.0,2.1,0.0,Boissons
"Chicorée et café, instantané, non sucré, prét é boire (reconstituée avec de l'eau)",28.7,0.6,6.06,0.3,50.0,3.0,0.0,Boissons
"Café au lait ou cappuccino au chocolat, poudre soluble",402.0,3.51,67.1,9.13,30.0,20.1,0.0,Boissons
"Poudre cacaotée ou au chocolat sucrée pour boisson, enrichie en vitamines et minéraux",376.0,6.48,79.3,3.04,50.0,39.6,0.0,Boissons
"Poudre cacaotée ou au chocolat pour boisson, sucrée, enrichie en vitamines",386.0,5.3,85.0,2.04,50.0,42.5,0.0,Boissons
"Citron ou Lime, spécialité é diluer pour boissons, sans sucres ajoutés",19.7,0.0,1.31,0.0,50.0,0.7,0.0,Boissons
"Boisson plate aux fruits (10 é 50% de jus), é teneur réduite en sucres",0.0,0.0,5.16,0.01,45.0,2.3,0.0,Boissons
"Boisson plate aux fruits (10 é 50% de jus), non sucrée, avec édulcorants",0.0,0.1,1.4,0.1,45.0,0.6,0.0,Boissons
"Boisson plate aux fruits (teneur en jus non spécifiée), sucrée",0.0,0.0,11.2,0.07,45.0,5.0,0.0,Boissons
"Boisson plate aux fruits (10 é 50% de jus), sucrée",0.0,0.041,10.1,0.06,45.0,4.5,0.0,Boissons
"Boisson gazeuse aux fruits (é moins de 10% de jus), non sucrée, avec édulcorants",0.0,0.0,0.45,0.13,45.0,0.2,0.0,Boissons
"Boisson gazeuse é la pomme (de 50 é 99% de fruits), non sucrée",0.0,0.0,7.5,0.0,45.0,3.4,0.0,Boissons
Boisson au jus de fruit et au lait,47.5,3.0,9.63,0.3,45.0,4.3,0.0,Boissons
"Tonic ou bitter, sucré",0.0,0.05,8.28,0.066,50.0,4.1,0.0,Boissons
"Boisson gazeuse aux fruits (é moins de 10% de jus), non sucrée, sans édulcorant",0.0,0.0,4.17,0.0,45.0,1.9,0.0,Boissons
Boisson diététique pour le sport,100.0,0.0,5.26,0.14,50.0,2.6,0.0,Aides culinaires
"Boisson énergisante, sucrée",0.0,0.1,11.9,0.0,50.0,6.0,0.0,Boissons
"Boisson énergisante, non sucrée, avec édulcorants",0.0,0.0,0.95,0.1,50.0,0.5,0.0,Boissons
Eau embouteillée de source,0.0,0.0,0.0,0.0,50.0,0.0,0.0,Boissons
"Boisson au soja, nature, non enrichie, préemballée",35.8,0.6,0.7,2.07,50.0,0.4,0.0,Boissons
"Boisson au soja, nature, enrichie en calcium, préemballée",42.9,1.0,2.18,2.05,50.0,1.1,0.0,Boissons
"Boisson au soja, aromatisée, sucrée, non enrichie, préemballée",59.3,0.6,7.24,1.92,50.0,3.6,0.0,Boissons
"Boisson au soja, aromatisée, sucrée, enrichie en calcium, préemballée",41.6,1.1,2.89,1.8,50.0,1.4,0.0,Boissons
"Boisson au riz, nature, préemballée",53.6,0.5,10.8,1.0,70.0,7.6,0.0,Boissons
"Boisson é base d'avoine, nature, préemballée",42.5,0.5,7.8,1.1,50.0,3.9,0.0,Boissons
"Boisson é la chétaigne, nature, préemballée",68.8,0.61,13.5,1.4,50.0,6.8,0.0,Boissons
"Boisson é la noix de coco, nature, préemballée",31.3,0.5,2.75,2.1,50.0,1.4,0.0,Boissons
"Lait en poudre, entier",501.0,0.0,37.5,26.8,30.0,11.2,20.0,Produits laitiers
"Lait entier, UHT",65.4,0.0,4.85,3.63,30.0,1.5,20.0,Produits laitiers
"Lait entier, pasteurisé",56.8,0.0,3.47,3.3,30.0,1.0,20.0,Produits laitiers
"Lait concentré non sucré, entier",123.0,3.0,9.91,5.9,30.0,3.0,20.0,Produits laitiers
"Lait concentré sucré, entier",324.0,0.0,55.6,7.87,30.0,16.7,20.0,Produits laitiers
"Lait demi-écrémé, UHT, enrichi en vitamine D seulement",46.9,0.0,4.8,1.52,30.0,1.4,20.0,Produits laitiers
"Lait é 1,2% de matiére grasse, UHT, enrichi en plusieurs vitamines",44.4,0.0,4.79,1.25,30.0,1.4,20.0,Produits laitiers
"Lait, teneur en matiére grasse inconnue, UHT (aliment moyen)",47.6,0.0,4.82,1.59,30.0,1.4,20.0,Produits laitiers
"Lait demi-écrémé, UHT",47.3,0.0,4.83,1.55,30.0,1.4,20.0,Produits laitiers
"Lait demi-écrémé, pasteurisé",46.7,0.0,4.9,1.54,30.0,1.5,20.0,Produits laitiers
"Lait en poudre, demi-écrémé",461.0,0.0,43.4,17.5,30.0,13.0,20.0,Produits laitiers
"Lait écrémé, UHT",33.7,0.0,4.64,0.06,30.0,1.4,20.0,Produits laitiers
"Lait écrémé, pasteurisé",34.8,0.0,4.99,0.19,30.0,1.5,20.0,Produits laitiers
"Lait en poudre, écrémé",364.0,0.0,54.0,0.7,30.0,16.2,20.0,Produits laitiers
Lait demi-écrémé (ou é teneur en matiére grasse légérement inférieure) é teneur réduite en lactose,44.7,0.0,4.69,1.29,30.0,1.4,20.0,Produits laitiers
"Boisson lactée aromatisée (aréme inconnu), sucrée, au lait partiellement écrémé, enrichie et/ou restaurée en vitamines et/ou minéraux (aliment moyen)",0.0,0.045,12.1,1.08,30.0,3.6,0.0,Boissons
"Boisson lactée aromatisée au chocolat, sucrée, au lait partiellement écrémé, enrichie et/ou restaurée en vitamines et/ou minéraux",64.1,1.0,10.8,0.99,30.0,3.2,0.0,Boissons
"Boisson lactée aromatisée é la fraise, sucrée, au lait partiellement écrémé, enrichie é la vitamine D",52.7,0.0,10.0,0.45,45.0,4.5,0.0,Boissons
"Lait de chévre, entier, UHT",56.4,0.0,4.35,2.83,30.0,1.3,20.0,Produits laitiers
"Lait de chévre, demi-écrémé, UHT",46.1,0.0,4.13,1.57,30.0,1.2,20.0,Produits laitiers
"Lait de chévre, entier, cru",57.7,0.0,4.01,3.2,30.0,1.2,20.0,Produits laitiers
"Lait de jument, entier",50.2,0.0,6.18,1.73,30.0,1.9,20.0,Produits laitiers
"Lait de brebis, entier",103.0,0.0,4.5,6.97,30.0,1.4,20.0,Produits laitiers
"Créme de lait ou spécialité é base de créme légére, teneur en matiére grasse inconnue (aliment moyen)",269.0,1.39,2.87,26.0,30.0,0.9,20.0,Produits laitiers
"Créme de lait, 30% MG, épaisse, rayon frais",304.0,3.0,2.8,30.7,45.0,1.3,20.0,Produits laitiers
"Créme d'Isigny AOP, >= 35% MG",200.0,0.0,3.0,40.0,50.0,1.5,20.0,Produits laitiers
"Créme de lait, 30% MG, semi-épaisse, UHT",297.0,3.0,1.94,30.7,30.0,0.6,20.0,Produits laitiers
"Créme chantilly, sous pression, UHT",308.0,3.0,10.6,28.2,50.0,5.3,20.0,Produits laitiers
"Créme de lait, 15 é 20% MG, légére, semi-épaisse, UHT",194.0,3.0,2.89,18.7,30.0,0.9,20.0,Produits laitiers
"Créme de lait, 15 é 20% MG, légére, épaisse, rayon frais",166.0,3.0,3.0,15.3,45.0,1.4,20.0,Produits laitiers
"Spécialité é base de créme légére 8% MG, fluide ou épaisse",76.4,3.0,5.28,4.3,50.0,2.6,20.0,Produits laitiers
"Créme de lait, 15 é 20% MG, légére, fluide, rayon frais",200.0,0.0,4.3,13.5,45.0,1.9,20.0,Produits laitiers
"Fromage de chévre pané é dorer, préemballé",200.0,3.0,15.0,19.2,0.0,0.0,10.0,Plats préparés
"Boisson lactée, lait fermenté ou yaourt é boire, aromatisé, avec édulcorants, allégé en sucres, 0% MG, au L Casei",200.0,0.35,3.64,0.1,30.0,1.1,20.0,Produits laitiers
Fromage blanc nature ou aux fruits (aliment moyen),88.5,0.0048,5.68,4.31,45.0,2.6,20.0,Produits laitiers
"Boisson lactée, lait fermenté ou yaourt é boire, aromatisé, sucré",73.9,0.028,11.6,1.4,30.0,3.5,20.0,Produits laitiers
"Boisson lactée, lait fermenté ou yaourt é boire, aromatisé, sucré, au L Casei",200.0,0.033,12.7,1.52,30.0,3.8,20.0,Produits laitiers
Spécialité fromagére non affinée é tartiner environ 30-40 % MG aromatisée (ex: ail et fines herbes),367.0,0.0,4.24,35.3,50.0,2.1,20.0,Produits laitiers
"Boisson lactée, lait fermenté ou yaourt é boire, aromatisé, sucré, enrichi en vitamine D",200.0,0.0,12.6,1.2,30.0,3.8,20.0,Produits laitiers
"Boisson lactée, lait fermenté ou yaourt é boire, aux fruits, sucré",83.1,0.079,13.1,1.69,45.0,5.9,20.0,Produits laitiers
"Boisson lactée, lait fermenté ou yaourt é boire, aux fruits, sucré, enrichie en vitamine D",200.0,0.11,13.9,1.5,45.0,6.3,20.0,Produits laitiers
"Boisson lactée, lait fermenté ou yaourt é boire, nature, sucré, au L Casei",200.0,0.05,12.9,1.6,30.0,3.9,20.0,Produits laitiers
"Lait fermenté ou spécialité laitiére type yaourt, aromatisé, sucré, au bifidus",94.8,3.0,11.5,3.1,30.0,3.4,20.0,Produits laitiers
"Lait fermenté ou spécialité laitiére type yaourt, aux fruits, avec édulcorants, 0% MG, au bifidus",200.0,1.08,6.71,0.094,45.0,3.0,20.0,Produits laitiers
"Lait fermenté ou spécialité laitiére type yaourt, aux fruits, sucré, au bifidus",97.5,0.65,13.0,3.01,45.0,5.8,20.0,Produits laitiers
"Lait fermenté ou spécialité laitiére type yaourt, aux fruits, 0% MG, avec édulcorants, aux esters de stérol",200.0,0.45,6.6,0.5,45.0,3.0,20.0,Produits laitiers
"Lait fermenté ou spécialité laitiére type yaourt, nature, 0% MG, au bifidus",200.0,0.0,5.75,0.3,30.0,1.7,20.0,Produits laitiers
"Lait fermenté ou spécialité laitiére type yaourt, nature, au bifidus",64.8,0.18,3.47,3.6,30.0,1.0,20.0,Produits laitiers
"Lait fermenté ou spécialité laitiére type yaourt, sur lit de fruits, sucré, au bifidus",200.0,0.78,13.3,2.72,45.0,6.0,20.0,Produits laitiers
"Yaourt é la grecque, au lait de brebis",69.4,0.0,4.99,3.4,30.0,1.5,20.0,Produits laitiers
"Yaourt é la grecque, sur lit de fruits",200.0,0.38,16.3,6.3,45.0,7.3,20.0,Produits laitiers
"Yaourt au lait de brebis, aromatisé, sucré",94.1,0.0,9.33,3.7,30.0,2.8,20.0,Produits laitiers
"Yaourt au lait de brebis, nature, 3% MG environ",200.0,0.13,4.6,3.0,30.0,1.4,20.0,Produits laitiers
"Yaourt au lait de chévre, nature, 5% MG environ",73.8,3.0,1.12,5.2,30.0,0.3,20.0,Produits laitiers
"Yaourt, lait fermenté ou spécialité laitiére sur lit de fruits, sucré",200.0,0.42,15.2,3.91,45.0,6.8,20.0,Produits laitiers
"Yaourt, lait fermenté ou spécialité laitiére, aux céréales, 0% MG",200.0,0.3,8.25,1.08,30.0,2.5,20.0,Produits laitiers
"Yaourt, lait fermenté ou spécialité laitiére, aromatisé, avec édulcorants, 0% MG",54.8,0.0,8.29,0.06,30.0,2.5,20.0,Produits laitiers
"Fromage frais type petit suisse, aromatisé chocolat, sucré",200.0,0.2,20.9,5.18,45.0,9.4,20.0,Produits laitiers
"Yaourt, lait fermenté ou spécialité laitiére, aromatisé, sucré",89.3,0.17,12.2,2.6,30.0,3.7,20.0,Produits laitiers
"Yaourt, lait fermenté ou spécialité laitiére, aromatisé, sucré, é la créme",200.0,0.083,13.4,5.45,30.0,4.0,20.0,Produits laitiers
"Yaourt, lait fermenté ou spécialité laitiére, aromatisé, sucré, enrichi en vitamine D",200.0,0.075,13.6,1.79,30.0,4.1,20.0,Produits laitiers
"Yaourt, lait fermenté ou spécialité laitiére, aux céréales",200.0,1.0,11.3,3.43,30.0,3.4,20.0,Produits laitiers
"Yaourt, lait fermenté ou spécialité laitiére, aux copeaux de chocolat, é la créme, sucré",122.0,3.0,14.1,5.1,30.0,4.2,20.0,Produits laitiers
"Yaourt, lait fermenté ou spécialité laitiére, aux fruits, avec édulcorants, 0% MG",39.3,3.0,3.72,0.3,45.0,1.7,20.0,Produits laitiers
"Yaourt, lait fermenté ou spécialité laitiére, aux fruits, avec édulcorants, 0% MG, enrichi en vitamine D",200.0,0.66,7.45,0.097,45.0,3.4,20.0,Produits laitiers
Mascarpone,200.0,0.0,4.0,39.0,50.0,2.0,20.0,Produits laitiers
Ricotta,200.0,0.0,4.0,11.9,50.0,2.0,20.0,Produits laitiers
"Yaourt, lait fermenté ou spécialité laitiére, aux fruits, sucré",96.0,0.22,14.2,2.4,45.0,6.4,20.0,Produits laitiers
"Yaourt, lait fermenté ou spécialité laitiére, aux fruits, sucré, é la créme",109.0,0.21,14.5,4.28,45.0,6.5,20.0,Produits laitiers
Mozzarella au lait de vache,229.0,0.0,0.75,17.7,30.0,0.2,20.0,Produits laitiers
"Mozzarella au lait de bufflonne ou buflesse (""di bufala"")",261.0,0.0,0.24,22.3,30.0,0.1,20.0,Produits laitiers
"Yaourt, lait fermenté ou spécialité laitiére, aux fruits, sucré, enrichi en vitamine D",200.0,0.1,14.0,2.35,45.0,6.3,20.0,Produits laitiers
"Yaourt, lait fermenté ou spécialité laitiére, nature",45.8,3.0,2.65,1.5,30.0,0.8,20.0,Produits laitiers
"Yaourt, lait fermenté ou spécialité laitiére, nature, 0% MG",39.8,0.0,4.1,0.064,30.0,1.2,20.0,Produits laitiers
"Yaourt, lait fermenté ou spécialité laitiére, nature, 0% MG, enrichi en vitamine D",200.0,0.5,5.0,0.0,30.0,1.5,20.0,Produits laitiers
"Yaourt, lait fermenté ou spécialité laitiére, nature, 0% MG, sucré, enrichi en vitamine D",200.0,0.13,5.4,1.17,30.0,1.6,20.0,Produits laitiers
"Yaourt, lait fermenté ou spécialité laitiére, nature, é la créme",115.0,0.0,3.08,9.8,30.0,0.9,20.0,Produits laitiers
"Yaourt, lait fermenté ou spécialité laitiére, nature, sucré",84.6,0.0,12.5,1.95,30.0,3.8,20.0,Produits laitiers
Yaourt ou spécialité laitiére nature (aliment moyen),57.1,0.86,4.73,2.3,30.0,1.4,20.0,Produits laitiers
Yaourt ou spécialité laitiére nature ou aux fruits (aliment moyen),69.7,0.71,7.47,2.5,45.0,3.4,20.0,Produits laitiers
Yaourt ou spécialité laitiére aux fruits (aliment moyen),93.3,0.43,12.8,2.89,45.0,5.8,20.0,Produits laitiers
Faisselle au coulis de fruits,200.0,0.0,8.5,5.0,45.0,3.8,20.0,Produits laitiers
"Faisselle, 0% MG",200.0,0.0,4.44,0.0,50.0,2.2,20.0,Produits laitiers
"Faisselle, 6% MG environ",84.5,0.0,3.57,5.5,50.0,1.8,20.0,Produits laitiers
"Fromage blanc et créme fouettée sur lit de fruits, sucré",200.0,0.0,16.0,7.0,45.0,7.2,20.0,Produits laitiers
"Fromage blanc nature, 0% MG",50.1,0.0,3.89,0.044,0.0,0.0,20.0,Produits laitiers
"Fromage blanc nature, 0% MG, enrichi en vitamine D",200.0,0.0,5.0,0.1,0.0,0.0,20.0,Produits laitiers
"Fromage blanc nature, 3% MG environ",77.5,0.0,3.46,3.26,0.0,0.0,20.0,Produits laitiers
"Fromage blanc nature, 3% MG environ, au bifidus",200.0,0.0,3.94,3.28,0.0,0.0,20.0,Produits laitiers
"Fromage blanc nature, 3% MG environ, enrichi en vitamine D",200.0,0.0,5.4,3.2,0.0,0.0,20.0,Produits laitiers
"Fromage blanc nature, gourmand, 8% MG environ",117.0,0.0,5.25,7.65,0.0,0.0,20.0,Produits laitiers
"Fromage blanc ou spécialité laitiére nature et créme fouetté, 10% MG environ",200.0,0.0,3.74,10.2,30.0,1.1,20.0,Produits laitiers
"Fromage blanc ou spécialité laitiére, aromatisé, sucré, 0% MG",200.0,0.0,12.5,0.025,30.0,3.8,20.0,Produits laitiers
"Fromage blanc ou spécialité laitiére, aromatisé, sucré, 3% MG environ",200.0,0.0,13.1,2.65,30.0,3.9,20.0,Produits laitiers
"Fromage blanc ou spécialité laitiére, aromatisé, sucré, 3% MG environ, au bifidus",200.0,0.28,14.0,3.2,30.0,4.2,20.0,Produits laitiers
"Fromage blanc ou spécialité laitiére, aux copeaux de chocolat, sucré, 7% MG environ",200.0,0.13,16.2,5.97,30.0,4.9,20.0,Produits laitiers
"Fromage blanc ou spécialité laitiére, aux fruits, avec édulcorants, allégé en sucres, 0% MG",200.0,0.58,6.76,0.12,45.0,3.0,20.0,Produits laitiers
"Fromage blanc ou spécialité laitiére, aux fruits, sucré, 0% MG",200.0,0.0,13.5,0.0,45.0,6.1,20.0,Produits laitiers
"Fromage blanc ou spécialité laitiére, aux fruits, sucré, 3% MG environ",200.0,0.12,14.7,3.31,45.0,6.6,20.0,Produits laitiers
"Fromage blanc ou spécialité laitiére, aux fruits, sucré, 3% MG environ, au bifidus",200.0,0.36,13.5,2.98,45.0,6.1,20.0,Produits laitiers
"Fromage blanc ou spécialité laitiére, aux fruits, sucré, gourmand, 7% MG environ",200.0,0.68,13.4,5.53,45.0,6.0,20.0,Produits laitiers
"Fromage frais type petit suisse, aux fruits, 2-3% MG",93.2,1.0,9.34,2.8,45.0,4.2,20.0,Produits laitiers
"Fromage frais type petit suisse, aux fruits, 2-3% MG, enrichi en calcium et vitamine D",200.0,0.2,12.2,2.63,45.0,5.5,20.0,Produits laitiers
"Fromage frais type petit suisse, nature, 0% MG",200.0,0.0,3.8,0.24,45.0,1.7,20.0,Produits laitiers
"Fromage frais type petit suisse, nature, 4% MG environ",89.6,0.0,2.84,4.0,45.0,1.3,20.0,Produits laitiers
"Mousse de fromage blanc sur lit de fruits, 0% MG, avec édulcorants, enrichie en calcium et vitamine D",200.0,1.35,6.0,0.45,45.0,2.7,20.0,Produits laitiers
"Fromage frais type petit suisse, nature, 10% MG environ",150.0,3.0,3.17,10.4,45.0,1.4,20.0,Produits laitiers
"Fromage frais type petit suisse, aromatisé ou aux fruits, 2-3% MG, enrichi en calcium et vitamine D",90.8,2.0,10.2,2.5,45.0,4.6,20.0,Produits laitiers
"Fromage blanc ou spécialité laitiére, aux fruits, avec édulcorants, allégé en sucres, 3% MG environ",200.0,0.2,12.2,2.5,45.0,5.5,20.0,Produits laitiers
"Spécialité laitiére type encas, riche en protéines, sur lit de fruits, sucrée",98.9,0.0,11.5,2.29,45.0,5.2,20.0,Produits laitiers
"Yaourt, lait fermenté ou spécialité laitiére, aromatisé ou aux fruits, 0% MG (aliment moyen)",42.8,1.12,4.92,0.13,45.0,2.2,20.0,Produits laitiers
"Yaourt, lait fermenté ou spécialité laitiére, aromatisé ou aux fruits, non allégé en MG (aliment moyen)",93.4,0.27,12.9,2.81,45.0,5.8,20.0,Produits laitiers
"Créme dessert, allégée en MG, rayon frais",79.4,3.0,12.4,1.3,45.0,5.6,20.0,Produits laitiers
"Flan aux oeufs, rayon frais",111.0,0.5,18.5,2.2,45.0,8.3,20.0,Produits laitiers
"Yaourt, lait fermenté ou spécialité laitiére, aromatisé ou aux fruits, avec édulcorants (aliment moyen)",42.8,1.12,4.92,0.13,45.0,2.2,20.0,Produits laitiers
"Yaourt, lait fermenté ou spécialité laitiére, aromatisé ou aux fruits, sucré (aliment moyen)",93.5,0.27,13.0,2.83,45.0,5.8,20.0,Produits laitiers
"Yaourt, lait fermenté ou spécialité laitiére, aromatisé ou aux fruits, sucré, non allégé en MG (aliment moyen)",93.4,0.27,13.0,2.83,45.0,5.8,20.0,Produits laitiers
"Lait emprésuré aromatisé, rayon frais",200.0,0.0,17.6,2.5,45.0,7.9,20.0,Produits laitiers
"Lait gélifié aromatisé, nappé caramel, rayon frais",92.1,3.0,16.7,1.3,45.0,7.5,20.0,Produits laitiers
"Lait gélifié aromatisé, rayon frais",200.0,0.52,19.5,3.53,45.0,8.8,20.0,Produits laitiers
"Liégeois ou viennois (chocolat, café, caramel ou vanille), rayon frais",200.0,0.27,18.8,5.78,45.0,8.5,20.0,Produits laitiers
"Yaourt, lait fermenté ou spécialité laitiére, aromatisé ou aux fruits (aliment moyen)",89.5,0.33,12.4,2.63,45.0,5.6,20.0,Produits laitiers
"Lait gélifié aromatisé, allégé en matiére grasse et en sucre, rayon frais",200.0,2.22,11.8,1.08,45.0,5.3,20.0,Produits laitiers
"Panna cotta, avec préparations de fruits ou caramel, rayon frais",199.0,3.0,14.9,13.0,45.0,6.7,20.0,Produits laitiers
"Baba au rhum, préemballé",169.0,0.87,23.6,3.86,50.0,11.8,0.0,Produits sucrés
"Cheesecake ou Géteau au fromage frais, préemballé",330.0,0.9,31.7,20.3,45.0,14.3,20.0,Produits laitiers
"Dessert au soja, aux fruits, sucré, enrichi en calcium, fermenté, préemballé",85.6,0.5,12.9,2.3,45.0,5.8,20.0,Produits laitiers
"Dessert au soja, nature, non sucré, non enrichi, fermenté, préemballé",43.3,0.8,2.05,1.9,50.0,1.0,20.0,Produits laitiers
"Dessert au soja, nature, non sucré, enrichi en calcium, fermenté, préemballé",40.6,0.6,1.1,2.1,50.0,0.6,20.0,Produits laitiers
"Dessert au soja, aux fruits, sucré, non enrichi, fermenté, préemballé",76.8,1.1,11.0,1.7,45.0,5.0,20.0,Produits laitiers
"Dessert au soja, aux amandes, fermenté, préemballé",54.6,0.6,2.85,2.8,50.0,1.4,20.0,Produits laitiers
"Tiramisu, préemballé",241.0,1.2,30.4,9.8,50.0,15.2,20.0,Produits laitiers
"Lait fermenté é boire, nature, maigre",33.9,3.0,2.18,0.6,30.0,0.7,20.0,Produits laitiers
"Lait fermenté é boire, nature, au lait entier",56.0,3.0,1.99,3.2,30.0,0.6,20.0,Produits laitiers
"Mousse é la créme de marrons, préemballée",207.0,1.1,34.4,6.5,50.0,17.2,20.0,Produits laitiers
"Yaourt é la grecque, nature",200.0,0.14,4.21,9.22,30.0,1.3,20.0,Produits laitiers
"Yaourt é la grecque, aromatisé, sucré",200.0,0.0,12.8,8.2,30.0,3.8,20.0,Produits laitiers
"Tzatziki, é base yaourt, préemballé",100.0,0.0,3.8,10.9,30.0,1.1,0.0,Aides culinaires
"Tzatziki, é base fromage frais, préemballé",100.0,1.15,3.28,11.1,45.0,1.5,0.0,Aides culinaires
Kéfir de lait,200.0,0.0,4.5,3.5,30.0,1.4,20.0,Produits laitiers
"Yaourt au lait de brebis, nature, 6% MG environ",200.0,1.0,4.56,6.08,30.0,1.4,20.0,Produits laitiers
"Jus d'ananas, é base de concentré",52.3,0.18,11.9,0.096,50.0,6.0,0.0,Boissons
"Artichaut, cuit",50.0,8.3,0.99,0.28,50.0,0.5,1.0,Fruits et légumes
"Asperge, bouillie/cuite é l'eau",50.0,1.8,0.81,0.32,50.0,0.4,1.0,Fruits et légumes
"Aubergine, cuite",50.0,4.3,4.17,0.28,50.0,2.1,1.0,Fruits et légumes
"Betterave rouge, cuite",42.8,2.5,7.13,0.4,50.0,3.6,1.0,Fruits et légumes
"Bette ou blette, crue",16.4,1.8,1.63,0.5,50.0,0.8,1.0,Fruits et légumes
"Bette ou blette, cuite",14.7,2.5,1.23,0.5,50.0,0.6,1.0,Fruits et légumes
"Brocoli, cuit",50.0,1.5,1.1,0.78,15.0,0.2,1.0,Fruits et légumes
"Carotte, appertisée, égouttée",21.9,1.75,3.4,0.2,15.0,0.5,1.0,Fruits et légumes
"Carotte, cuite",18.9,2.8,2.6,0.1,15.0,0.4,1.0,Fruits et légumes
"Carotte, crue",40.2,2.7,7.59,0.5,15.0,1.1,1.0,Fruits et légumes
"Champignon, tout type, cru",21.7,1.72,1.88,0.23,50.0,0.9,1.0,Fruits et légumes
